"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Vibrant and welcoming introduction to MCR Dance Academy, featuring images of dancing and a call-to-action to join or book a class."
"","Features List Section","List of key offerings: Wide range of dance styles, classes for all ages, professional instructors."
"","Benefits Section","Highlight the benefits of joining: build confidence, meet new friends, improve health and fitness."
"","How It Works Section","Step-by-step guide: Select a class, book online, attend in-studio or online, manage your bookings."
"","Stats Section","Engaging statistics: number of students taught, years in operation, classes per week."
"","Testimonial Section","Positive testimonials from students and parents sharing their experiences at the academy."
"","Gallery Section","Photo gallery featuring classes, performances, and academy events."
"","CTA Section","Strong call-to-action inviting visitors to book a class or schedule a tour."
"","Newsletter Section","Signup form for the academy’s newsletter to receive updates and offers."
"","FAQ Section","Frequently asked questions about classes, pricing, and scheduling."
"","Footer",""
"About Us","Navbar",""
"","Header Section","Introduction to MCR Dance Academy’s mission and vision, welcoming visitors to learn more about the academy."
"","About Section","Overview of the academy’s story, core values, and commitment to dance education in the UK."
"","Timeline Section","Visual timeline showing key milestones: founding year, major events, awards, and growth."
"","Team Section","Profiles of instructors and staff with photos, bios, and specialties."
"","Award Logos List Section","Display of awards, certifications, or notable recognitions the academy has received."
"","Stats Section","Highlight important numbers: years in operation, number of students, styles taught."
"","Customer Logos List Section","Logos of schools, community centers, or organizations partnered with MCR Dance Academy."
"","Testimonial Section","Quotes from students and parents sharing experiences and the impact of the academy."
"","Footer",""
"Classes & Booking","Navbar",""
"","Header Section","Welcome message introducing the range of classes available and inviting users to book their spot."
"","Features List Section","List of class categories: Kids Classes, Adults Classes, Beginners, Intermediate, Advanced, Special Workshops."
"","Ecommerce Product Section","Featured class with image, description, instructor, schedule, and price. Includes ""Book Now"" button."
"","Ecommerce Products List Section","Grid/list of all available classes with filter by age, style, skill level, and day/time. Each class includes image, summary, price, and ""Book Now"" button."
"","Pricing Section","Overview of single class prices, class packs, and membership options."
"","CTA Section","Encouragement to purchase and join a class, with a direct link to the Class Purchase page."
"","FAQ Section","Frequently asked questions about booking, cancellations, rescheduling, and what to bring."
"","Footer",""
"Class Purchase","Navbar",""
"","Ecommerce Product Header Section","Header featuring the class name, brief description, and an engaging image representing the dance class."
"","Ecommerce Product Section","Detailed information about the selected class: schedule, instructor, age group, level, pricing, and available slots."
"","Pricing Section","Clear breakdown of class pricing, including single class rates, multi-class packs, and discounts for siblings or early booking."
"","Reviews Section","Student and parent reviews specific to the class being purchased."
"","CTA Section","Prominent call-to-action button to purchase the class online."
"","CTA Form Section","Quick purchase or booking form with options for new or returning students."
"","FAQ Section","Frequently asked questions about class purchases, refunds, and attendance policies."
"","Footer",""
"Login & Manage Classes","Navbar",""
"","Header Section","Welcoming title (e.g., ""Login & Manage Your Classes"") with a brief description guiding users to sign in and manage their class bookings."
"","Contact Form Section","Login form with email and password fields, options for password reset and account registration."
"","Features List Section","Overview of member dashboard features: view booked classes, reschedule or cancel, purchase new classes, update personal information."
"","Ecommerce Product Section","Display of available class packages for purchase or renewal (if not already purchased)."
"","CTA Section","Prompt to book a new class or contact support if assistance is needed."
"","FAQ Section","FAQs about account management, booking policies, and troubleshooting login issues."
"","Footer",""
"Contact Us","Navbar",""
"","Header Section","Page introduction: “Get in Touch with MCR Dance Academy – We’d love to hear from you! Contact us for inquiries, class information, or to schedule a visit.”"
"","Contact Section","Main contact details: academy address, phone number, email, embedded Google map for directions, opening hours."
"","Contact Form Section","User-friendly form for inquiries: name, email, subject, message, with submit button."
"","Locations Section","Highlight the academy’s physical location(s) with address, directions, parking info, and public transport options."
"","FAQ Section","Quick answers to common contact and visitation questions (e.g., ""Do I need an appointment to visit?"", ""Where can I park?"")."
"","CTA Section","Encourage visitors to book a class or tour after making contact."
"","Footer",""
